entity,extra_info
Tüffel Un Plum,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""German""}"
Vanillekipferl,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""German""}"
"Weck, Worscht Un Woi","{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""German""}"
Wedding Soup,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""German""}"
Weihnachtsgans,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""German""}"
Weihnachtskarpfen,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""German""}"
Weißwurst,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""German""}"
Welf Pudding,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""German""}"
Westphalian Ham,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""German""}"
Wickelklöße,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""German""}"
Wurstbrühe,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""German""}"
Wurstsalat,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""German""}"
Zwiebelkuchen,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""German""}"
Adhirasam,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Ariselu,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Baati,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Bhakri,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Dal Makhani,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Khakhra,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Khandvi,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Kori Rotti,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Luchi,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Obbattu,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Papadum,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Paratha,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Pesarattu,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Puri,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Thalipeeth,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Til Pitha,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Aam Papad,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Aamras,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Aappam,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Achari Baingan,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Ada,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Ada Pradhaman,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Aloo Gobi,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Aloo Matar,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Aloo Methi,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Aloo Mutter,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Aloo Phalliyaan,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Aloo Shimla Mirch,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Aloo Tikki,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Aloo Tuk,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Alu Pitika,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Amriti,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Anda Bhurji,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Arcot Makkan Peda,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Attu,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Aval Kesari,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Avial,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Bafla,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Baida Roti,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Bajra Roti,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Bajri No Rotlo,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Bakshalu,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Bal Mithai,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Banana Chips,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Barfi,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Basundi,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Batata Saung,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Bengena Pitika,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Bhajia,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Bhapa Pithe,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Bhatoora,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Bhatura,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Bhelpuri,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Bhindi Masala,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Bhoonja,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Bhturu,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Bhuja,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Bhurji- Paneer,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Bihari Makuti,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Bikaneri Bhujia,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Bilahi Maas,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Biryani,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Bisi Bele Bath,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Black Rice,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Bombil Fry,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Bonda,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Boondi,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Boorelu,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Bora Sawul,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Bread Pakora,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Butter Chicken,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Butter Naan,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Chaat,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Chakali,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Chak-Hao Kheer,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Chakli,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Chakodi,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Cham Cham,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Chana Jor Garam,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Chana Masala,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Chapati,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Charolia,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Cheela,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Cheera Doi,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Chettinadu Chicken,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Chevdo,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Chhena Gaja,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Chhena Jalebi,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Chhena Jhili,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Chhena Kheeri,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Chhena Poda,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Chhenagaja,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Chhenapoda,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Chhilka Roti,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Chicken 65,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Chicken Razala,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Chicken Tikka,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Chikkolee,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Chili Parotha,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Chingri Bhape,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Chingri Malai Curry,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Chitranna,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Cholafali,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Chole Bhature,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Chole Kulche,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Chorafali,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Churma Ladoo,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Coconut Barfi,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Coconut Vadi,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Currivepillai Sadam,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Cutlet,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Daab Chingri,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Daal Baati Churma,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Daal Dhokli,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Daal Puri,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Dabeli,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Dahi Puri,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Dahi Vada,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Dahibara Aludam,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Dal,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Dal Dhokli,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Dal Fara,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Dal Fry With Tadka,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Dalithoy,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Dharwad Pedha,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Dhebra,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Dhokla,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Dhoper Chop,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Dhup Pitha,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Dibba Rotti,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Dibbha Rotte,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Doodhpak,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Dudhi No Halwo,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Dum Aaloo,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Dum Aloo,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Ennai Kathirikkai,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Fara,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Farsi Puri,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Gajar Halwo,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Gajar Ka Halwa,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Gajar Ki Barfi,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Gajar Matar Aloo,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Gajar Paak,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Galho,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Ganthiya,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Gatta Curry,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Gatte Ki Sabzi,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Gheela Pitha,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Ghevar,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Gobhi Matar,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Goja,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Gol Papdi,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Golichina Mamsam,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Gud Papdi,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Gujhia,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Gulab Jamun,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Gunthapangnalu,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Gur,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Halva,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Halwa,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Haq Maas,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Hari Mutter Ka Nimona,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Horioh Maas,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Hyderabadi Marag,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Idiyappam,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Idli,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Ilish,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Imarti,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Imarti With Rabri,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Jaangiri,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Jaleba,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Jalebi,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Jalfrezi,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Jaynagarer Moa,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Jeera Aloo,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Jhaal Pithe,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Jhalmuri,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Jhunka,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Jolada Rotti,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Juvar No Rotlo,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Kaara Kozhambu,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Kabiraji,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Kachori,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Kadai Paneer,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Kaddu Halwa,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Kadhi,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Kadhi And Khichdi,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Kadhi Pakoda,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Kajjikaya,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Kaju Katli,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Kalakand,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Kalathappam,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Kali,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Kali Dal,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Kansar,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Karanji,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Karela Bharta,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Karela Nu Shak,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Katha Meetha Petha,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Kebab,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Keema Matar,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Keema Naan,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Keerai Koottu,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Keerai Masiyal,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Keerai Poriyal,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Keerai Sadam,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Kerala Beef Fry,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Keri No Ras,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Kesar Petha,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Kesari,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Khaman,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Khar,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Kheer,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Kheer Sagar,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Khichu,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Khobryachi Vadi,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Khorisa,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Khoya Paneer,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Kinnathappam,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Kodubale,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Kofta,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Kolar Bora,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Koldil Chicken,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Koldil Duck,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Kolhapuri Akkha Masoor Dal,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Kombdi Vade,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Koottu,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Kopra Paak,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Korma,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Kos Kootu,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Kosambari,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Kosha Mangsho,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Koshambri,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Koshimbir,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Kothamali Sadam,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Kovilpatti Kadalai Mittai,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Kozhukkattai,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Kulcha,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Kulfi,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Kulfi Falooda,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Kuzhambu,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Kuzhi Paniyaram,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Laapsi,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Labanga Latika,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Laccha Paratha,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Lai Haq Maas,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Lassi,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Lauki Ke Kofte,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Lauki Ki Bhaaji,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Litti Chokha,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Lobiya,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Locha,"{""tag"": ""food"", ""is_vegan"": ""undefined"", ""cuisine"": ""Indian""}"
Maasor Tenga,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Machher Jhol,"{""tag"": ""food"", ""is_vegan"": ""no"", ""cuisine"": ""Indian""}"
Maddur Vada,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
Mag Dhokli,"{""tag"": ""food"", ""is_vegan"": ""yes"", ""cuisine"": ""Indian""}"
